State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-003,"COMM. PRY. SCHOOL, FARO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-007,"PRY SCHOOL, SASA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,ATAKUMOSA WEST,OKE BODE,29-02-07-009,"L.A. PRY. SCHOOL, GIDIGBI",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFEDAYO,AYETORO,29-12-02-006,AROWODANA VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OKEBA IKIRUN,29-14-07-010,OLD INISA RD/ODOFIN SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OKEBA IKIRUN,29-14-07-011,EKO ENDE ROAD/ OYEBAMIJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OLONDE IKIRUN,29-14-08-002,"IRAGBIJI RD., IKIRUN/HOLY MICHAEL PRY. SCH II",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OLONDE IKIRUN,29-14-08-004,ESORUN/ANIYEYE/ESORUN I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE NORTH,IPETUMODU  I,29-15-06-013,"CHRIST SCHOOL, IPETUMODU I",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AYESAN,29-16-01-002,FADEYI AREA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,IKIJA  I,29-16-02-008,ONIWINDE IFETEDO,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-001,"A.U.D. SCHOOL, IFETEDO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-002,TOWOBAJE MARKET,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-003,COURT HALL IFETEDO I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-004,COURT HALL IFETEDO II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-005,IDI-ODAN OJA OBA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-007,COOP STORE AREA OWODE VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-008,"A.U.D. PRY. SCHOOL, IDI-OGAN VILLAGE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-009,"BAPTIST PRY. SCHOOL, AKINTOLA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-010,"ST. STEPHEN'S SCHOOL, GBONGBONKAN OSI",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AARE,29-16-04-012,"ABA OSE,  AROWOLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-002,"ST. JOHN'S SCHOOL, MEFOWORADE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-004,"A.U.I. SCHOOL, OKE-ILA I",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-008,DISPENSARY ONIGBODOGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-009,"BAPTIST DAY SCHOOL, AGBAJE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-010,"ST. HENRY SCHOOL, AREA IV",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,MEFOWORADE,29-16-05-011,"ST. STEPHEN SCHOOL, AJEBANDELE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,KERE,29-16-09-004,L.A. SCHOOL ADERETI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,AYE,29-16-11-003,OGBAGBA VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,ODO-OTIN,ESA OTUN BAALE ODE,29-25-12-008,"23 OLOREDE COMPUND, INISA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,ORIADE,APOTI /DAGBAJA,29-28-08-014,"ALL SAINTS PRY. SCHOOL, DAGBAJA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,ORIADE,IPETU IJESA  I,29-28-09-009,"FRONT OF ORISATUYI STORES, IPETU-IJESA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,EJIGBO,ELEJIGBO 'A',29-10-01-007,"ELERUMOKE OPEN SPACE,  OPP. SAMSUDEEN ARABIC SCHOOL, EJIGBO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,EJIGBO,ELEJIGBO 'A',29-10-01-008,"ANSARUL - ISLAM PRY SCHL. OLA ROAD, EJIGBO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE EAST,OKEREWE  III,29-13-06-011,"OPEN SPACE INFRONT OF OLURIN JUNCTION, ONDO ROAD",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE EAST,OKEREWE  III,29-13-06-013,"OPEN SPACE INFRONT OF N.U.R.T.W. HALL, ARUBIDI MARKET",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFE SOUTH,OLODE,29-16-07-014,"OPEN SPACE, ORITA GLOBE OLODE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OKEBA IKIRUN,29-14-07-019,"OPEN SPACE, IGBO ILE, OPP. MOJOYIN OLA, OGO OLUWA VILLA BESIDE ROCK, IKIRUN ",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OKEBA IKIRUN,29-14-07-020,"OPEN SPACE BESIDE FOURSQUARE CHURCH ODOFUN, IKIRUN",0,0,0,0,1,0,1,1,0,0,0,0,0,
OSUN,IFELODUN,OLONDE IKIRUN,29-14-08-010,ORIMOLADE GRAMMAR SCHOOL IRAGBIJI ROAD,0,0,0,0,1,0,1,1,0,0,0,0,0,
