Date,ReconXi,Delve,Telex,Outbound AI,Backend.IM,Resolve,Genz,TechiesMatch,ShopDesk,Gradific
3/4/2025,31.9,15,16.5,13.5,13,14.5,13.5,21.5,15.5,15.5
3/5/2025,47.4,16,16.5,20,26.5,22,15.5,23.5,25.5,28
3/6/2025,71.4,40.92,28.46,42.13,54.04,55.85,33.74,58.56,57.95,50
3/7/2025,107.74,77.42,36.46,49.63,89.04,62.65,42.04,67.56,65.45,54.5
3/10/2025,16.01,3.5,9.4,9.74,19.87,18.38,15.02,11.17,11.5,13.28
3/11/2025,35.26,4.25,14.75,14.09,36.12,34.38,22.27,22.67,20.5,14.5
3/12/2025,50.13,22.91,26.48,37.73,50.58,47.18,34.37,39.14,33.64,31
3/13/2025,65.03,35.91,33.38,46.23,58.58,53.68,41.67,45.04,38.24,37.6
3/14/2025,88.863,66.487,68.668,75.522,68.191,73.958,59.284,82.576,69.634,52.113
3/17/2025,19.5,9,14,14,12,13,14,12,13,10.5
3/18/2025,27,20,24,23,19.9,22,27.7,25.8,20,18.5
3/19/2025,44.5,41,42.5,41.5,34.9,39.5,47.2,39.8,40,32.5
3/20/2025,58.5,48,47.5,51,35.9,50.5,63.2,39.8,54,40.5
3/21/2025,77,65.3,63.5,59.5,48.6,63.5,80.2,52.5,62,52
3/23/2025,104,81.3,91.5,86.5,74.6,85,110.2,75.5,79,63
3/24/2025,24.5,13,20,5.5,20.5,13.5,14.5,22,21,13.5
3/25/2025,27.5,21,31,19.5,45.5,21.5,17.5,49,47,19.5
